Country,CountryID,1999-FreshRed,2000-FreshRed,2001-FreshRed,2002-FreshRed,2003-FreshRed,2004-FreshRed,2005-FreshRed,2006-FreshRed,2007-FreshRed,2008-FreshRed,2009-FreshRed,2010-FreshRed,2011-FreshRed,2012-FreshRed,2013-FreshRed,2014-FreshRed,1999-FrozenRed,2000-FrozenRed,2001-FrozenRed,2002-FrozenRed,2003-FreshRed,2004-FrozenRed,2005-FrozenRed,2006-FrozenRed,2007-FrozenRed,2008-FrozenRed,2009-FrozenRed,2010-FrozenRed,2011-FrozenRed,2012-FrozenRed,2013-FrozenRed,2014-FrozenRed,1999-Fowl,2000-Fowl,2001-Fowl,2002-Fowl,2003-Fowl,2004-Fowl,2005-Fowl,2006-Fowl,2007-Fowl,2008-Fowl,2009-Fowl,2010-Fowl,2011-Fowl,2012-Fowl,2013-Fowl,2014-Fowl,1999-Prepared,2000-Prepared,2001-Prepared,2002-Prepared,2003-Prepared,2004-Prepared,2005-Prepared,2006-Prepared,2007-Prepared,2008-Prepared,2009-Prepared,2010-Prepared,2011-Prepared,2012-Prepared,2013-Prepared,2014-Prepared,,,,,,,,,,,,,,,,
Canada,124,1236.33,1405.93,1593.16,1558.10,1377.39,1787.15,1859.37,1487.98,1393.14,1319.52,1210.99,1523.82,1548.59,1440.30,1591.73,2065.55,117.49,152.75,179.56,170.86,154.64,190.97,186.35,163.67,146.70,206.38,164.06,204.53,209.32,217.97,206.12,275.98,19.98,24.13,34.10,39.77,44.67,73.42,71.24,90.93,131.86,145.92,133.96,136.21,129.73,139.81,144.61,140.54,172.95,221.36,229.26,240.68,312.84,330.13,278.13,279.29,267.95,259.17,238.89,252.57,281.07,275.55,277.08,294.18,,,,,,,,,,,,,,,,
Mexico,484,5.28,7.81,11.63,12.39,22.74,30.25,41.73,72.21,89.75,80.81,117.69,209.10,314.67,501.31,517.53,753.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,8.06,10.86,12.39,14.67,21.30,35.93,52.05,58.66,49.91,30.07,31.55,25.83,26.54,27.61,29.16,,,,,,,,,,,,,,,,
China,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,3.69,3.47,8.32,6.18,7.88,10.18,11.51,17.13,15.44,18.88,21.22,24.42,12.92,13.05,24.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.85,21.93,41.15,43.37,62.11,71.98,80.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.20,20.06,22.58,22.35,36.40,40.92,45.06,45.17,57.38,58.50,53.59,62.36,71.85,86.76,97.36,114.42,,,,,,,,,,,,,,,,
Brazil,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.02,93.66,93.87,129.23,150.73,194.84,203.88,295.78,335.61,302.96,255.29,85.44,147.08,198.26,226.16,221.78,,,,,,,,,,,,,,,,
Australia,36,128.29,162.88,244.15,277.74,381.30,423.27,430.40,510.86,580.27,508.85,481.66,535.96,665.75,641.47,699.24,1055.43,493.50,657.38,779.29,792.33,765.62,973.89,811.97,770.08,803.66,714.20,668.98,612.24,576.38,875.51,824.23,1596.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,554,88.41,94.03,107.24,130.32,159.32,191.71,206.81,170.90,157.86,162.50,144.44,181.52,242.84,211.70,188.15,198.89,329.45,421.58,467.74,453.45,460.01,577.28,578.00,535.52,501.60,580.29,469.67,536.50,650.54,737.23,779.75,964.45,10.26,10.76,10.88,11.12,9.45,9.86,11.26,12.10,10.36,13.02,9.17,10.23,12.21,13.93,15.90,17.88,2.69,3.35,2.80,7.09,19.58,19.74,27.33,5.27,6.09,16.61,25.05,37.75,49.11,49.17,43.31,37.94,,,,,,,,,,,,,,,,
Netherlands,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,558,3.86,6.21,11.62,12.05,13.19,16.52,13.46,11.92,21.94,23.75,18.17,22.27,40.91,21.79,19.40,37.28,10.54,15.79,17.74,20.86,23.17,40.72,43.17,44.31,58.60,77.98,60.00,82.66,123.63,118.18,107.81,192.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,208,,,,,,,,,,,,,,,,,104.42,141.56,143.40,133.34,156.95,183.58,156.31,143.57,159.08,147.04,136.96,134.66,140.37,143.51,127.13,146.08,,,,,,,,,,,,,,,,,61.00,55.96,42.41,43.62,49.32,47.35,34.34,35.24,23.07,12.98,16.89,20.26,27.87,21.18,25.56,24.19,,,,,,,,,,,,,,,,
South Korea,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.97,31.08,30.49,29.59,27.90,32.18,36.98,34.92,40.48,42.05,36.32,36.72,35.49,39.05,41.24,43.29,,,,,,,,,,,,,,,,
Taiwan,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,858,13.76,13.26,5.54,0.00,14.75,42.05,56.77,29.47,30.64,8.72,12.28,12.37,12.51,10.10,13.96,22.06,31.37,33.39,21.99,0.01,44.40,260.87,360.60,218.35,253.98,78.51,79.21,60.14,61.70,107.79,125.62,148.32,,,,,,,,,,,,,,,,,4.70,4.99,9.27,8.56,15.98,13.27,23.91,23.31,30.40,9.87,12.27,17.43,43.72,34.90,32.88,32.96,,,,,,,,,,,,,,,,
Morocco,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest of world,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
