Country,CountryID,1999-Soups,2000-Soups,2001-Soups,2002-Soups,2003-Soups,2004-Soups,2005-Soups,2006-Soups,2007-Soups,2008-Soups,2009-Soups,2010-Soups,2011-Soups,2012-Soups,2013-Soups,2014-Soups,1999-EssentialOils,2000-EssentialOils,2001-EssentialOils,2002-EssentialOils,2003-EssentialOils,2004-EssentialOils,2005-EssentialOils,2006-EssentialOils,2007-EssentialOils,2008-EssentialOils,2009-EssentialOils,2010-EssentialOils,2011-EssentialOils,2012-EssentialOils,2013-EssentialOils,2014-EssentialOils,1999-Fats,2000-Fats,2001-Fats,2002-Fats,2003-Fats,2004-Fats,2005-Fats,2006-Fats,2007-Fats,2008-Fats,2009-Fats,2010-Fats,2011-Fats,2012-Fats,2013-Fats,2014-Fats,1999-Others,2000-Other,2001-Other,2002-Other,2003-Other,2004-Other,2005-Other,2006-Other,2007-Other,2008-Other,2009-Other,2010-Other,2011-Other,2012-Other,2013-Other,2014-Other
Canada,124,298.21,328.93,388.54,430.71,470.60,653.69,754.78,864.61,868.98,939.03,852.29,905.20,1003.24,1073.99,1088.70,1103.41,17.61,21.66,19.85,19.02,21.96,21.53,23.57,24.87,30.95,49.56,39.75,53.13,52.61,60.43,67.71,75.97,87.75,76.67,85.78,92.24,90.60,124.11,116.10,109.48,156.36,198.09,146.22,143.66,195.56,212.39,237.85,192.93,34.42,41.72,58.20,61.91,62.70,58.81,64.19,71.02,79.42,78.28,84.17,89.39,99.84,101.30,103.20,103.49
Mexico,484,52.87,64.52,75.47,96.80,129.91,189.59,208.57,232.00,240.49,246.15,236.93,293.99,293.82,278.53,304.66,290.17,17.31,18.32,19.89,20.79,25.69,28.59,37.05,32.30,38.66,38.08,33.00,39.31,51.08,47.61,60.95,70.97,0.10,0.11,0.45,0.40,0.39,0.78,1.26,1.53,3.45,13.92,22.78,20.53,31.17,37.49,32.62,30.98,38.65,44.07,51.11,63.46,68.36,74.50,77.06,79.07,90.89,97.49,106.66,111.24,113.26,115.06,130.40,153.73
China,156,31.92,33.87,40.74,51.75,49.84,55.11,61.53,75.62,95.76,121.63,106.96,126.49,148.38,159.09,175.62,177.85,25.91,24.32,27.01,26.78,25.66,23.30,31.32,40.24,39.27,44.89,31.81,47.45,51.50,53.22,62.75,67.90,,,,,,,,,,,,,,,,,64.19,53.06,47.69,52.68,63.68,79.94,80.35,94.79,106.37,111.39,117.69,137.88,185.60,234.78,263.16,266.72
India,356,,,,,,,,,,,,,,,,,27.00,32.51,31.16,36.57,40.11,43.50,45.40,70.32,75.05,146.31,110.51,122.32,138.83,185.68,177.47,173.42,2.81,3.78,1.94,2.10,1.44,2.64,2.77,3.57,3.01,5.93,3.60,8.10,10.19,9.33,7.65,10.57,95.40,100.59,84.82,77.14,87.60,76.32,136.30,188.74,159.68,233.55,173.59,294.25,1028.73,3521.60,1768.36,1340.86
France,250,,,,,,,,,,,,,,,,,48.66,46.90,43.33,48.85,51.08,63.29,56.22,60.11,66.68,70.59,61.48,75.09,74.45,83.99,89.33,121.05,,,,,,,,,,,,,,,,,56.57,44.16,44.71,41.80,51.58,53.49,51.01,49.32,47.38,57.58,65.22,80.68,83.17,99.12,98.76,95.52
Chile,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.02,0.01,0.06,0.02,0.02,0.07,0.07,0.00,0.00,0.38,2.24,4.01,5.58,,,,,,,,,,,,,,,,
Italy,380,81.54,91.85,90.47,113.35,116.76,117.44,128.71,139.78,161.59,178.40,167.79,169.38,196.40,210.60,235.44,250.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,76,,,,,,,,,,,,,,,,,19.72,24.75,20.62,26.49,44.86,30.55,42.31,43.57,48.21,44.80,36.48,46.66,80.57,60.91,53.93,73.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,764,31.38,32.87,45.84,58.24,62.35,67.49,83.79,104.76,115.15,139.15,132.53,160.56,185.47,189.28,203.61,219.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,372,,,,,,,,,,,,,,,,,31.54,1.79,1.56,1.90,900.93,1631.85,1992.52,1977.15,1920.31,2000.76,1742.34,1783.53,1783.35,1768.83,1970.59,2081.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,826,46.92,10.67,14.62,19.00,19.50,20.72,21.74,24.70,22.34,26.29,90.03,87.61,96.34,89.10,89.59,105.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.01,0.00,0.00,0.15,1.07,0.10,0.21,0.08,0.11,0.12,4.32,7.92,11.62,15.46,19.86,,,,,,,,,,,,,,,,
Netherlands,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,1.29,1.09,1.22,5.84,13.32,24.54,25.00,19.70,16.53,19.65,17.56,20.23,,,,,,,,,,,,,,,,
Guatemala,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89,23.57,20.53,21.35,23.88,25.50,35.90,35.68,42.47,43.04,35.72,39.46,43.60,54.96,60.54,68.46
Colombia,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,0.03,0.25,0.49,1.85,2.01,1.82,0.82,0.82,1.97,2.96,3.24,3.73,4.27,6.02,,,,,,,,,,,,,,,,
Germany,276,31.58,28.21,23.34,20.26,26.60,28.15,28.05,40.96,49.59,60.12,72.45,75.55,82.34,101.47,117.24,129.16,,,,,,,,,,,,,,,,,1.60,1.13,0.88,1.85,2.60,4.37,4.01,4.41,3.94,4.37,3.64,3.10,5.44,7.12,10.48,7.35,58.47,43.01,36.91,35.17,39.92,41.01,51.76,62.79,65.41,74.19,60.23,54.97,55.10,57.29,73.43,70.59
Costa Rica,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32,,,,,,,,,,,,,,,,,16.04,33.79,26.51,33.25,34.32,18.06,44.95,60.04,59.58,60.84,70.59,58.15,79.11,58.15,89.08,58.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.19,12.28,14.15,14.00,16.71,21.79,22.84,28.27,31.97,43.07,40.94,41.20,45.30,46.27,38.55,45.64
Malaysia,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,392,52.74,59.60,53.15,60.59,62.28,92.95,87.34,82.32,81.28,91.58,98.80,112.30,121.87,118.32,118.53,110.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest of world,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
