Country,CountryID,1999-Fresh,2000-Fresh,2001-Fresh,2002-Fresh,2003-Fresh,2004-Fresh,2005-Fresh,2006-Fresh,2007-Fresh,2008-Fresh,2009-Fresh,2010-Fresh,2011-Fresh,2012-Fresh,2013-Fresh,2014-Fresh,1999-Frozen,2000-Frozen,2001-Frozen,2002-Frozen,2003-Frozen,2004-Frozen,2005-Frozen,2006-Frozen,2007-Frozen,2008-Frozen,2009-Frozen,2010-Frozen,2011-Frozen,2012-Frozen,2013-Frozen,2014-Frozen,1999-Preserved,2000-Preserved,2001-Preserved,2002-Preserved,2003-Preserved,2004-Preserved,2005-Preserved,2006-Preserved,2007-Preserved,2008-Preserved,2009-Preserved,2010-Preserved,2011-Preserved,2012-Preserved,2013-Preserved,2014-Preserved,1999-Juice,2000-Juice,2001-Juice,2002-Juice,2003-Juice,2004-Juice,2005-Juice,2006-Juice,2007-Juice,2008-Juice,2009-Juice,2010-Juice,2011-Juice,2012-Juice,2013-Juice,2014-Juice
Canada,124,71.3,71.5,75.9,81.6,95.2,113.6,116.1,137.6,137.2,150.6,146.2,143.4,163.9,216.3,204.1,209.8,35.8,42.4,47.0,48.9,69.9,80.0,108.9,137.1,169.4,160.3,106.2,109.5,134.2,163.6,163.4,159.9,34.0,38.7,49.7,53.8,64.2,76.8,88.2,102.8,126.9,143.7,137.2,138.3,171.2,198.7,201.8,213.1,24.9,21.9,25.5,29.8,41.8,43.3,41.9,38.8,49.2,60.2,48.9,43.6,60.4,65.8,65.6,61.5
Mexico,484,760.5,604.0,663.2,664.3,754.9,902.6,"1,214.0","1,156.5","1,649.6","1,724.5","1,989.2","2,382.1","2,490.6","2,859.8","3,256.2","3,903.8",46.1,35.3,29.4,40.1,56.5,52.1,55.7,67.5,93.4,98.4,83.7,111.7,141.3,173.3,177.9,197.2,87.9,86.2,88.9,93.7,100.5,126.5,130.0,144.3,143.5,194.9,196.9,232.1,270.5,290.3,306.0,320.9,78.2,75.1,58.5,68.2,44.5,66.9,116.5,124.7,190.3,206.2,172.7,199.8,217.1,189.7,242.6,266.1
China,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,63.8,84.7,123.6,179.4,215.1,264.1,312.6,415.0,493.2,459.9,479.3,555.7,598.6,623.6,587.3,24.6,39.3,36.6,54.9,101.5,166.2,186.7,206.2,437.2,675.4,356.9,385.5,558.8,634.7,542.2,396.1
India,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,502.5,598.2,606.4,746.1,754.9,872.5,983.1,"1,143.2","1,155.7","1,245.2","1,251.6","1,385.9","1,326.4","1,225.6","1,560.4","1,523.2",10.3,11.7,8.9,12.4,25.3,34.4,42.6,57.3,62.1,85.4,82.9,83.8,135.0,116.5,134.3,160.7,11.8,14.9,12.2,13.8,20.3,24.4,42.5,56.2,45.8,58.6,74.5,61.9,68.4,105.7,100.6,108.7,67.3,62.0,59.8,55.5,67.9,74.6,70.6,89.4,61.5,104.1,85.8,54.6,76.5,71.5,63.7,100.6
Italy,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5,134.1,89.9,93.4,175.4,127.6,185.5,230.7,419.5,302.0,238.1,277.8,320.8,242.0,303.4,428.6
Australia,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.9,107.5,105.5,123.8,163.7,204.7,211.2,233.4,250.2,285.4,282.9,294.7,323.3,313.2,334.6,329.4,,,,,,,,,,,,,,,,
Ireland,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,218,330.4,263.8,274.2,308.9,300.5,276.8,289.1,346.1,321.8,341.8,476.9,467.1,502.1,449.1,448.6,437.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,604,13.1,14.3,19.6,31.9,25.0,30.1,41.8,54.7,64.5,81.7,79.7,107.7,187.0,180.2,218.4,402.8,0.1,0.3,0.1,0.1,1.3,3.1,5.0,8.8,5.4,13.8,7.4,15.4,19.3,18.7,32.3,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,320,189.0,245.8,287.3,332.1,330.3,346.2,371.6,357.4,444.6,498.3,588.6,588.4,789.3,847.5,912.8,985.5,1.5,2.4,2.3,2.7,3.0,3.1,3.4,4.5,4.2,4.9,3.4,3.4,2.5,7.3,18.8,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,170,224.0,220.0,184.9,186.6,165.4,166.4,197.0,194.6,158.8,209.9,237.9,266.7,209.0,246.0,258.5,222.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,188,503.1,478.5,504.4,473.9,509.2,472.6,495.0,729.2,718.7,683.8,646.1,793.5,814.0,837.9,879.8,971.5,8.2,5.9,7.4,8.3,11.1,12.5,15.1,11.3,10.9,14.6,10.7,14.4,17.9,17.4,22.6,38.9,,,,,,,,,,,,,,,,,19.8,41.6,35.7,39.1,38.5,34.3,28.3,42.1,85.8,48.2,50.0,56.4,48.5,75.7,74.7,64.5
Argentina,32,38.0,49.6,66.0,45.9,43.0,38.5,60.2,74.9,98.8,80.6,87.2,105.6,106.2,98.0,102.6,133.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3,120.4,110.9,93.6,101.1,106.2,146.7,146.8,179.2,214.7,141.5,118.9,305.8,227.3,229.3,165.5
Philippines,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6,112.4,100.1,102.3,109.2,108.1,114.5,117.4,109.5,118.1,118.4,126.1,130.9,136.3,149.4,131.8,33.7,39.2,49.5,47.3,57.8,51.9,52.8,52.9,43.3,45.6,58.2,52.9,73.5,67.6,62.5,72.0
Malaysia,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,340,50.0,108.5,146.0,153.4,149.7,170.3,161.8,150.6,174.0,193.3,201.4,220.0,238.6,257.6,279.3,281.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium-Luxembourg,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest of world,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
